Parcel_No,Draw_Acres,Deed_Acres,Realkey,Ownkey,house_no,street_nam,full_add,curr_val,valchgdate,qPub_Link
M02 007,10.8316,0,3046,8072,0,OLD SYLVANIA ROAD,0 OLD SYLVANIA ROAD,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M02+007
M02 007A,0.187341,0,3047,8072,0,OLD SYLVANIA ROAD,0 OLD SYLVANIA ROAD,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M02+007A
M02 007B,0.359793,0.36,3048,8933,0,OLD SYLVANIA ROAD,0 OLD SYLVANIA ROAD,2871,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M02+007B
M02 008,0.381468,0.37,3049,8934,0,,0,2233,6/21/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M02+008
M02 009,2.07603,2.3,5399,9562,0,MAGNOLIA STREET,0 MAGNOLIA STREET,8050,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M02+009
M03 001,80.4748,76.65,3050,9562,0,COLLEGE AVENUE,0 COLLEGE AVENUE,156599,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+001
M03 001A,4.68583,0,3051,7369,0,COLLEGE AVE/CITY HALL,0 COLLEGE AVE/CITY HALL,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+001A
M03 002,26.7229,0,3052,7369,0,COLLEGE AVE/CEMETERY,0 COLLEGE AVE/CEMETERY,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+002
M03 003,1.80906,0,3053,7369,0,WALNUT STREET,0 WALNUT STREET,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+003
M03 004,1.38829,1.63,3054,13098,408,WALNUT STREET,408 WALNUT STREET,85668,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+004
M03 005,2.22761,2.35,3055,8940,428,WALNUT STREET,428 WALNUT STREET,90873,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+005
M03 006,0.434203,0,3056,8941,0,WALNUT STREET,0 WALNUT STREET,3400,6/21/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+006
M03 007,0.153716,0,3057,15385,0,WALNUT STREET,0 WALNUT STREET,7000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+007
M03 008,0.238267,0,3058,15384,537,MORNINGSIDE CIRCLE,537 MORNINGSIDE CIRCLE,105614,6/19/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+008
M03 009,0.167339,0,3059,15386,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3400,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+009
M03 010,0.475051,0,3060,8945,515,MORNINGSIDE CIRCLE,515 MORNINGSIDE CIRCLE,80855,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+010
M03 011,0.39922,0,3061,8946,507,MORNINGSIDE CIRCLE,507 MORNINGSIDE CIRCLE,101080,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+011
M03 012,0.344325,0,3062,8947,501,MORNINGSIDE CIRCLE,501 MORNINGSIDE CIRCLE,75693,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+012
M03 013,0.321768,0,3063,8948,506,MORNINGSIDE CIRCLE,506 MORNINGSIDE CIRCLE,93386,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+013
M03 014,0.244416,0,3064,8949,514,MORNINGSIDE CIRCLE,514 MORNINGSIDE CIRCLE,42136,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+014
M03 015,0.238626,0,3065,12999,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,43984,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+015
M03 015A,0.106948,0,3066,8951,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,400,6/21/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+015A
M03 016,0.337128,0,3067,8952,608,MORNINGSIDE CIRCLE,608 MORNINGSIDE CIRCLE,67038,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+016
M03 017,0.113474,0,3068,8953,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,400,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+017
M03 018,0.20407,0,3069,7207,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+018
M03 019,0.251296,0,3070,7207,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+019
M03 020,0.391478,0,3071,7207,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+020
M03 021,0.323464,0,3072,7207,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+021
M03 022,0.286458,0,3073,16351,632,MORNINGSIDE CIRCLE,632 MORNINGSIDE CIRCLE,53780,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+022
M03 023,0.241228,0,3074,7970,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+023
M03 024,0.305647,0,3075,14757,0,MORNINGSIDE CIRCLE,0 MORNINGSIDE CIRCLE,3800,3/18/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+024
M03 025,0.216986,0,3076,14758,623,MORNINGSIDE CIRCLE,623 MORNINGSIDE CIRCLE,69005,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+025
M03 026,0.357344,0,3077,8962,607,MORNINGSIDE CIRCLE,607 MORNINGSIDE CIRCLE,72215,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+026
M03 027,0.231893,0,3078,8963,907,BARNEY AVENUE,907 BARNEY AVENUE,63143,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+027
M03 028,0.222482,0,3079,15177,618,WALNUT STREET,618 WALNUT STREET,68064,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+028
M03 029,0.20754,0,3080,8965,0,WALNUT STREET,0 WALNUT STREET,58792,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+029
M03 030,0.217031,0,3081,8966,0,WALNUT STREET,0 WALNUT STREET,66744,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+030
M03 031,0.142331,0,3082,7970,0,WALNUT STREET,0 WALNUT STREET,1600,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+031
M03 032,0.141611,0,3083,7970,0,JORDAN AVENUE,0 JORDAN AVENUE,3800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M03+032
M04 001,1.12623,1.2,3084,14536,1075,E WINTHROPE AVENUE,1075 E WINTHROPE AVENUE,29129,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+001
M04 002,0.926411,0,3085,15206,1028,COLLEGE AVENUE,1028 COLLEGE AVENUE,7120,11/3/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+002
M04 003,6.47018,6.4,3086,14537,931,E WINTHROPE AVENUE,931 E WINTHROPE AVENUE,4798045,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+003
M04 003A,1.19992,0,3087,8972,0,COLLEGE AVE/SEN CITZ. BLD,0 COLLEGE AVE/SEN CITZ. BLD,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+003A
M04 003B,0.318455,0,3088,8072,0,COLLEGE AVENUE,0 COLLEGE AVENUE,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+003B
M04 003C,1.97089,0,3089,8072,0,E WINTHROPE AVENUE,0 E WINTHROPE AVENUE,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+003C
M04 010,0.771192,0.73,3090,8975,1063,E WINTHROPE AVENUE,1063 E WINTHROPE AVENUE,58762,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+010
M04 011,0.413429,0.21,3091,8976,1077,OLD SYLVANIA ROAD,1077 OLD SYLVANIA ROAD,30080,2/28/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+011
M04 012,0.670768,0,3092,8977,0,E WINTHROPE AVENUE,0 E WINTHROPE AVENUE,1,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+012
M04 013,0.326735,0.31,3093,8978,0,E WINTHROPE AVENUE,0 E WINTHROPE AVENUE,42895,6/20/2001,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+013
M04 013B,0.16669,0,3094,8979,0,E WINTHROPE AVENUE,0 E WINTHROPE AVENUE,1440,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+013B
M04 013C,0.181309,0,3095,15933,0,E WINTHROPE AVENUE,0 E WINTHROPE AVENUE,33970,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+013C
M04 015,2.16353,3.42,3096,14391,0,OLD SYLVANIA HWY,0 OLD SYLVANIA HWY,212087,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+015
M04 016,2.03415,2.5,3097,8982,0,OLD SYLVANIA ROAD,0 OLD SYLVANIA ROAD,7976,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+016
M04 017,0.504806,0,3098,8983,1068,OLD SYLVANIA HWY,1068 OLD SYLVANIA HWY,1,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+017
M04 018,5.53768,5.5,3099,8984,1120,OLD SYLVANIA ROAD,1120 OLD SYLVANIA ROAD,257024,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M04+018
M05 001,8.4809,0,3100,8985,0,BELT AVENUE,0 BELT AVENUE,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+001
M05 003,0.192081,0,3101,8986,1206,BELT AVENUE,1206 BELT AVENUE,8980,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+003
M05 003A,0.190699,0,3102,8987,1212,BELT AVENUE,1212 BELT AVENUE,25444,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+003A
M05 004,0.188807,0,3103,8988,203,GRIFFIN STREET,203 GRIFFIN STREET,1420,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+004
M05 005,0.179041,0,3104,8989,206,GRIFFIN STREET,206 GRIFFIN STREET,1420,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+005
M05 006,0.177075,0,3105,8990,1232,BELT AVENUE,1232 BELT AVENUE,4220,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+006
M05 007,0.176674,0,3106,8991,1304,BELT AVENUE,1304 BELT AVENUE,1420,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+007
M05 008,0.176674,0,3107,8992,1310,BELT AVENUE,1310 BELT AVENUE,27495,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+008
M05 009,0.191397,0,3108,8993,1310,BELT AVENUE,1310 BELT AVENUE,769,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+009
M05 010,7.82523,0,3109,8994,0,BELT AVENUE,0 BELT AVENUE,7500,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+010
M05 011A,0.18658,0,3110,8995,0,INMAN AVENUE,0 INMAN AVENUE,710,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+011A
M05 012,0.285094,0,3111,8996,0,INMAN AVENUE,0 INMAN AVENUE,1065,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+012
M05 012A,0.159768,0,3112,8997,0,INMAN AVENUE,0 INMAN AVENUE,1183,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+012A
M05 013,0.205515,0.17,3113,8998,0,INMAN AVENUE,0 INMAN AVENUE,20934,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+013
M05 014,0.202696,0,3114,8999,0,INMAN AVENUE,0 INMAN AVENUE,5472,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+014
M05 015,0.1969,0,3115,9000,0,INMAN STREET,0 INMAN STREET,17565,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+015
M05 016,0.135636,0,3116,9001,334,REEVES STREET,334 REEVES STREET,12527,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+016
M05 017,0.216034,0,3117,15760,340,REEVES STREET,340 REEVES STREET,19260,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+017
M05 018,0.172204,0,3118,9003,0,INMAN AVENUE,0 INMAN AVENUE,1420,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+018
M05 019,0.176352,0,3119,9004,1020,INMAN AVENUE,1020 INMAN AVENUE,16960,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+019
M05 020,0.181922,0,3120,9005,0,INMAN AVENUE,0 INMAN AVENUE,5452,7/2/2008,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+020
M05 020A,0.179915,0,3121,9006,0,INMAN AVENUE,0 INMAN AVENUE,1420,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+020A
M05 021,0.19686,0,3122,14347,350,REEVES STREET,350 REEVES STREET,1380,6/18/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+021
M05 022,0.165261,0,3123,9008,346,REEVES STREET,346 REEVES STREET,5664,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+022
M05 023,0.0863687,0,3124,16463,0,REEVES STREET,0 REEVES STREET,870,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+023
M05 023A,0.0839547,0,3125,9010,518,REEVES STREET,518 REEVES STREET,870,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+023A
M05 024,0.195059,0.18,3126,9011,319,REEVES STREET,319 REEVES STREET,2613,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+024
M05 025,0.166021,0,3127,9012,0,REEVES STREET,0 REEVES STREET,1450,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+025
M05 026,0.183055,0,3128,9013,1116,BELT AVENUE,1116 BELT AVENUE,4786,2/28/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+026
M05 027,0.179052,0,3129,9014,1110,BELT AVENUE,1110 BELT AVENUE,45926,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+027
M05 028,0.0839181,0,3130,9015,0,ELLIS STREET,0 ELLIS STREET,990,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+028
M05 029,0.0828734,0,3131,9016,212,ELLIS STREET,212 ELLIS STREET,27330,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+029
M05 030,0.346327,0,3132,9017,224,ELLIS STREET,224 ELLIS STREET,17180,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+030
M05 031,0.316751,0,3133,16122,236,ELLIS STREET,236 ELLIS STREET,21558,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+031
M05 032,0.165326,0,3134,9019,242,ELLIS STREET,242 ELLIS STREET,1376,2/24/2000,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+032
M05 033,0.160512,0,3135,14495,239,ELLIS STREET,239 ELLIS STREET,26769,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+033
M05 034,0.159427,0,3136,9021,0,ELLIS STREET,0 ELLIS STREET,1380,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+034
M05 034A,0.160031,0,3137,14495,0,ELLIS STREET,0 ELLIS STREET,1380,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+034A
M05 035,0.158173,0,3138,9023,221,ELLIS STREET,221 ELLIS STREET,36464,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+035
M05 036,0.164965,0,3139,9024,0,ELLIS STREET,0 ELLIS STREET,1380,1/26/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+036
M05 037,0.180663,0,3140,9025,205,ELLIS STREET,205 ELLIS STREET,56205,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+037
M05 038,0.511177,0,3141,9026,920,BELT AVENUE,920 BELT AVENUE,51509,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+038
M05 038A,0.352076,0,3142,9027,0,GAY STREET,0 GAY STREET,2045,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+038A
M05 039,0.198963,0,3143,9028,122,BELT AVENUE,122 BELT AVENUE,1380,6/30/2011,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+039
M05 040A,0.414679,0,3144,9029,0,GAY STREET,0 GAY STREET,3163,6/24/2011,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040A
M05 040B,0.274978,0,3145,16216,223,GAY STREET,223 GAY STREET,19943,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040B
M05 040C,0.279966,0,3146,9031,231,GAY STREET,231 GAY STREET,37003,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040C
M05 040D,0.255517,0,3147,9032,237,GAY STREET,237 GAY STREET,26229,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040D
M05 040E,0.263114,0,3148,9033,0,GAY STREET,0 GAY STREET,1904,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040E
M05 040F,0.292133,0,3149,9033,0,GAY STREET,0 GAY STREET,2000,8/10/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040F
M05 040G,0.548747,0,3150,9035,0,GAY STREET,0 GAY STREET,3207,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040G
M05 040H,0.418987,0,3151,9036,0,GAY STREET,0 GAY STREET,2964,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040H
M05 040J,0.295407,0,3152,9037,0,GAY STREET,0 GAY STREET,2213,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040J
M05 040K,0.312242,0,3153,9038,258,GAY STREET,258 GAY STREET,39845,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040K
M05 040L,0.312014,0,3154,10344,250,GAY STREET,250 GAY STREET,4713,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040L
M05 040M,0.327698,0,3155,9040,0,GAY STREET,0 GAY STREET,2120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040M
M05 040N,0.321631,0,3156,9041,0,GAY STREET,0 GAY STREET,2120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040N
M05 040P,0.341072,0,3157,9042,0,GAY STREET,0 GAY STREET,2120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040P
M05 040Q,0.214165,0,3158,9043,0,ELLIS STREET,0 ELLIS STREET,1817,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040Q
M05 040R,0.202141,0,3159,9044,255,ELLIS STREET,255 ELLIS STREET,42493,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040R
M05 040S,0.19553,0,3160,9045,263,ELLIS STREET,263 ELLIS STREET,52125,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040S
M05 040T,0.267207,0,3161,9046,917,ANNCLIFF STREET,917 ANNCLIFF STREET,21727,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040T
M05 040U,0.259231,0,3162,9047,0,ANNCLIFF STREET,0 ANNCLIFF STREET,1136,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040U
M05 040V,0.24514,0,3163,9048,0,ANNCLIFF STREET,0 ANNCLIFF STREET,1000,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040V
M05 040W,0.172819,0,3164,9049,0,ANNCLIFF STREET,0 ANNCLIFF STREET,875,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040W
M05 040X,0.306617,0,3165,9050,0,ANNCLIFF STREET,0 ANNCLIFF STREET,1113,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040X
M05 040Y,0.386265,0,3166,9051,0,ANNCLIFF STREET,0 ANNCLIFF STREET,1238,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040Y
M05 040Z,0.425565,0,3167,10367,925,ANNCLIFF STREET,925 ANNCLIFF STREET,35104,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+040Z
M05 041,0.261939,0,3168,9053,0,S MASONIC STREET,0 S MASONIC STREET,1001,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+041
M05 041A,0.320893,0,3169,9054,0,ANNCLIFF STREET,0 ANNCLIFF STREET,1572,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+041A
M05 041B,0.259416,0,3170,9055,0,ELLIS STREET,0 ELLIS STREET,2864,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+041B
M05 041C,0.185477,0,3171,9056,256,ELLIS STREET,256 ELLIS STREET,40849,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+041C
M05 041D,0.161833,0,3172,9019,0,ELLIS STREET,0 ELLIS STREET,1242,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+041D
M05 041E,0.351759,0,3173,9002,340,REEVES STREET,340 REEVES STREET,3062,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+041E
M05 042,0.400678,0,3174,9059,0,S MASONIC STREET,0 S MASONIC STREET,3547,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+042
M05 042A,0.0781631,0,3175,7369,0,S MASONIC STREET,0 S MASONIC STREET,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+042A
M05 042B,0.395507,0,3176,9061,0,ANNCLIFF STREET,0 ANNCLIFF STREET,9064,6/28/2013,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+042B
M05 043,0.164852,0,3177,9062,0,S MASONIC STREET,0 S MASONIC STREET,1539,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+043
M05 043A,0.161425,0,3178,9063,244,S MASONIC STREET,244 S MASONIC STREET,13566,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+043A
M05 043B,0.119538,0,3179,9064,0,S MASONIC STREET,0 S MASONIC STREET,1055,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+043B
M05 044,0.862693,0,3180,9065,0,S MASONIC STREET,0 S MASONIC STREET,9896,6/17/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+044
M05 045,0.0591123,0,3181,9066,220,S MASONIC STREET,220 S MASONIC STREET,17448,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+045
M05 046,0.63326,0.65,3182,12426,0,BELT AVENUE,0 BELT AVENUE,17829,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+046
M05 046A,0.0899758,0,3183,14854,244,S MASONIC STREET,244 S MASONIC STREET,8457,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+046A
M05 047,0.22116,0.23,3184,9069,822,BELT AVENUE,822 BELT AVENUE,14646,6/17/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+047
M05 048,0.0939118,0,3185,14181,0,BELT AVENUE,0 BELT AVENUE,5272,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+048
M05 049,0.102154,0,3186,13185,818,BELT AVENUE,818 BELT AVENUE,18803,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+049
M05 050,0.197441,0,3187,9071,0,BELT AVENUE,0 BELT AVENUE,1667,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+050
M05 051,0.0543286,0,3188,15858,830,BELT AVENUE,830 BELT AVENUE,4387,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+051
M05 052,0.0591201,0,3189,9074,834,BELT AVENUE,834 BELT AVENUE,6179,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=M05+052
